"background size","chart color","description","Evidence codes","intersecting genes","intersection size","network.SUID","nodes.SUID","p-value","precision","query size","recall","source","term id","term name","term size"
"21017","","""The division of a cell nucleus into two nuclei, with DNA and other nuclear contents distributed between the daughter nuclei."" [GOC:mah]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000169116|ENSG00000136999|ENSG00000152689|ENSG00000250111|ENSG00000184194|ENSG00000164929|ENSG00000070081|ENSG00000125845|ENSG00000095932|ENSG00000181826|ENSG00000148143|ENSG00000169607|ENSG00000164045|ENSG00000184584|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000114315","22","66719","64499|64633|64287|64909|64927|64229|64963|64605|65337|64335|64349|64579|64267|64897|64279|64643|64607|64921|64617|64235|64257|64673","3.782578883002295E-8","0.12716763005780346","173","0.04888888888888889","Gene Ontology Biological Process","GO:0000280","nuclear division","450"
"21017","","""The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."" [GOC:di, GOC:go_curators, GOC:pr]","""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000169116|ENSG00000136999|ENSG00000152689|ENSG00000250111|ENSG00000184194|ENSG00000267690|ENSG00000164929|ENSG00000157557|ENSG00000125845|ENSG00000095932|ENSG00000181826|ENSG00000148143|ENSG00000169607|ENSG00000042980|ENSG00000139318|ENSG00000164045|ENSG00000184584|ENSG00000185666|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000152253|ENSG00000272733|ENSG00000176890|ENSG00000211942|ENSG00000254060","26","66719","64499|64633|64287|64909|64927|64237|64229|64497|64605|65337|64335|64349|64579|64353|64489|64267|64897|65349|64279|64643|64607|64921|64235|64257|64243|64597","5.3704024574193924E-8","0.15028901734104047","173","0.039634146341463415","Gene Ontology Biological Process","GO:0051301","cell division","656"
"21017","","""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]","""IEP""|""NAS""|""TAS""|""IGI""|""HMP""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000151136|ENSG00000256316|ENSG00000163808|ENSG00000091409|ENSG00000229989|ENSG00000182557|ENSG00000186818|ENSG00000115738|ENSG00000152689|ENSG00000251675|ENSG00000267690|ENSG00000164929|ENSG00000227191|ENSG00000151458|ENSG00000070081|ENSG00000174607|ENSG00000183690|ENSG00000151208|ENSG00000258810|ENSG00000169031|ENSG00000173894|ENSG00000203811|ENSG00000234184|ENSG00000136158|ENSG00000196549|ENSG00000186187|ENSG00000240754|ENSG00000245648|ENSG00000110237|ENSG00000170835|ENSG00000162543|ENSG00000223907|ENSG00000174776|ENSG00000184584|ENSG00000145649|ENSG00000185666|ENSG00000022267|ENSG00000182983|ENSG00000152953|ENSG00000184357|ENSG00000182611|ENSG00000127533|ENSG00000081026|ENSG00000151725|ENSG00000185477|ENSG00000233355|ENSG00000106366|ENSG00000272733|ENSG00000169439|ENSG00000197471|ENSG00000176890|ENSG00000249717|ENSG00000211821|ENSG00000211942|ENSG00000267262|ENSG00000256018|ENSG00000123485|ENSG00000254060","58","66719","64939|64693|64553|64295|64665|64631|64919|64639|64287|64953|64237|64229|65359|64311|64963|64561|64333|64889|65345|64301|64293|64671|64251|64545|64945|64531|65357|64905|64339|64495|64691|64929|64695|64897|64557|65349|64615|64253|64923|64559|64585|64549|64643|64607|64305|65341|64707|64235|64595|64525|64257|65343|64907|64243|65351|64651|64655|64597","9.921945515898603E-8","0.3352601156069364","173","0.019687712152070606","Gene Ontology Biological Process","GO:0035556","intracellular signal transduction","2946"
"22115","","""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]","""IPI""|""IC""|""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""|""HDA""","ENSG00000077238|ENSG00000140009|ENSG00000167723|ENSG00000163808|ENSG00000134369|ENSG00000154874|ENSG00000138160|ENSG00000229989|ENSG00000182557|ENSG00000240666|ENSG00000186818|ENSG00000115738|ENSG00000135540|ENSG00000178999|ENSG00000153885|ENSG00000184194|ENSG00000267690|ENSG00000109047|ENSG00000164929|ENSG00000211685|ENSG00000227191|ENSG00000151458|ENSG00000175029|ENSG00000070081|ENSG00000157557|ENSG00000171105|ENSG00000174607|ENSG00000183690|ENSG00000184661|ENSG00000258810|ENSG00000095932|ENSG00000245869|ENSG00000169031|ENSG00000173894|ENSG00000118523|ENSG00000203811|ENSG00000106070|ENSG00000127561|ENSG00000099725|ENSG00000234184|ENSG00000125384|ENSG00000136158|ENSG00000004399|ENSG00000165480|ENSG00000171488|ENSG00000253701|ENSG00000023445|ENSG00000123095|ENSG00000109805|ENSG00000110237|ENSG00000139318|ENSG00000211898|ENSG00000164045|ENSG00000148498|ENSG00000223907|ENSG00000166352|ENSG00000143476|ENSG00000144677|ENSG00000145649|ENSG00000223806|ENSG00000136111|ENSG00000117632|ENSG00000182983|ENSG00000204482|ENSG00000184357|ENSG00000163554|ENSG00000182611|ENSG00000127533|ENSG00000228682|ENSG00000149418|ENSG00000185477|ENSG00000165507|ENSG00000233355|ENSG00000106366|ENSG00000139734|ENSG00000069702|ENSG00000088325|ENSG00000247081|ENSG00000169439|ENSG00000197471|ENSG00000249717|ENSG00000211821|ENSG00000211942|ENSG00000113231|ENSG00000162496|ENSG00000256018|ENSG00000124693|ENSG00000123485|ENSG00000254060","89","66719","64307|64263|64265|64553|64535|64507|64669|64665|64631|64667|64919|64639|64543|64573|64281|64927|64237|64273|64229|64303|65359|64311|64313|64963|64497|64285|64561|64333|64537|65345|65337|64325|64301|64293|64901|64671|64911|64275|64527|64251|64563|64545|64547|64341|64345|64315|64343|64283|64637|64339|64489|64319|64267|64957|64929|64329|64603|64961|64557|64903|64647|64269|64253|64289|64559|65355|64585|64549|64247|64363|64305|64541|65341|64707|64599|64621|64683|64645|64595|64525|65343|64907|64243|64521|64323|64651|64641|64655|64597","1.080568815740409E-7","0.5056818181818182","176","0.014196841601531346","Gene Ontology Cellular Component branch","GO:0071944","cell periphery","6269"
"21017","","""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]","""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000163808|ENSG00000072110|ENSG00000134369|ENSG00000091409|ENSG00000081052|ENSG00000186818|ENSG00000153885|ENSG00000184194|ENSG00000251675|ENSG00000267690|ENSG00000164929|ENSG00000070081|ENSG00000157557|ENSG00000174607|ENSG00000183690|ENSG00000165349|ENSG00000095932|ENSG00000169031|ENSG00000173894|ENSG00000234184|ENSG00000125384|ENSG00000123095|ENSG00000110237|ENSG00000211898|ENSG00000170835|ENSG00000166352|ENSG00000185666|ENSG00000223806|ENSG00000152953|ENSG00000204482|ENSG00000149418|ENSG00000185477|ENSG00000233355|ENSG00000106366|ENSG00000139734|ENSG00000069702|ENSG00000272733|ENSG00000197471|ENSG00000211821|ENSG00000170677|ENSG00000267262|ENSG00000256018","42","66719","64553|64351|64535|64295|64245|64919|64281|64927|64953|64237|64229|64963|64497|64561|64333|64677|65337|64301|64293|64251|64563|64283|64339|64319|64495|64329|65349|64903|64923|64289|64363|64305|65341|64707|64599|64621|64235|64525|64907|64493|65351|64651","1.6346739998043292E-7","0.24277456647398843","173","0.024475524475524476","Gene Ontology Biological Process","GO:0048870","cell motility","1716"
"21017","","""Any process that modulates the rate or extent of progress through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000131620|ENSG00000152689|ENSG00000250111|ENSG00000184194|ENSG00000164929|ENSG00000070081|ENSG00000125845|ENSG00000196549|ENSG00000042980|ENSG00000164045|ENSG00000174776|ENSG00000184584|ENSG00000109674|ENSG00000144677|ENSG00000116667|ENSG00000081026|ENSG00000151725|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000170677|ENSG00000114315","22","66719","64611|64287|64909|64927|64229|64963|64605|64945|64353|64267|64695|64897|64947|64961|64679|64643|64607|64617|64235|64257|64493|64673","2.545821730904647E-7","0.12716763005780346","173","0.04426559356136821","Gene Ontology Biological Process","GO:0007346","regulation of mitotic cell cycle","497"
"21017","","""The creation of two or more organelles by division of one organelle."" [GOC:jid]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000169116|ENSG00000136999|ENSG00000152689|ENSG00000250111|ENSG00000184194|ENSG00000164929|ENSG00000070081|ENSG00000125845|ENSG00000095932|ENSG00000181826|ENSG00000148143|ENSG00000169607|ENSG00000164045|ENSG00000184584|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000114315","22","66719","64499|64633|64287|64909|64927|64229|64963|64605|65337|64335|64349|64579|64267|64897|64279|64643|64607|64921|64617|64235|64257|64673","2.6448955381781473E-7","0.12716763005780346","173","0.04417670682730924","Gene Ontology Biological Process","GO:0048285","organelle fission","498"
"21017","","""The process in which genetic material, in the form of nuclear chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. Nuclear chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:dos]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000169116|ENSG00000136999|ENSG00000152689|ENSG00000250111|ENSG00000164929|ENSG00000095932|ENSG00000181826|ENSG00000148143|ENSG00000169607|ENSG00000164045|ENSG00000184584|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890","18","66719","64499|64633|64287|64909|64229|65337|64335|64349|64579|64267|64897|64279|64643|64607|64921|64617|64235|64257","2.962345428260347E-7","0.10404624277456648","173","0.05625","Gene Ontology Biological Process","GO:0098813","nuclear chromosome segregation","320"
"14822","","hsa-miR-215-5p","""MIRNA""","ENSG00000183657|ENSG00000154874|ENSG00000081052|ENSG00000131620|ENSG00000146670|ENSG00000267694|ENSG00000184194|ENSG00000164929|ENSG00000237438|ENSG00000151458|ENSG00000171105|ENSG00000174607|ENSG00000095932|ENSG00000118523|ENSG00000181826|ENSG00000253701|ENSG00000231119|ENSG00000019991|ENSG00000174776|ENSG00000184584|ENSG00000151725|ENSG00000021762|ENSG00000226394|ENSG00000266146|ENSG00000197471|ENSG00000226281|ENSG00000005884|ENSG00000122952|ENSG00000254060|ENSG00000114315","30","66719","64697|64507|64245|64611|64569|64479|64927|64229|64255|64311|64285|64561|65337|64901|64335|64315|64593|64943|64695|64897|64607|64617|64241|64519|64525|64517|64705|64565|64597|64673","4.5639940149087797E-7","0.18404907975460122","163","0.0398406374501992","mirTarBase miRNA targets","MIRNA:hsa-miR-215-5p","hsa-miR-215-5p","753"
"21017","","""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""ISO""|""IDA""","ENSG00000169116|ENSG00000131620|ENSG00000152689|ENSG00000250111|ENSG00000184194|ENSG00000267690|ENSG00000164929|ENSG00000070081|ENSG00000125845|ENSG00000181826|ENSG00000196549|ENSG00000169607|ENSG00000042980|ENSG00000164045|ENSG00000174776|ENSG00000184584|ENSG00000109674|ENSG00000144677|ENSG00000116667|ENSG00000081026|ENSG00000151725|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000114315","26","66719","64499|64611|64287|64909|64927|64237|64229|64963|64605|64335|64945|64579|64353|64267|64695|64897|64947|64961|64679|64643|64607|64921|64617|64235|64257|64673","4.569833866774417E-7","0.15028901734104047","173","0.03591160220994475","Gene Ontology Biological Process","GO:0010564","regulation of cell cycle process","724"
"21017","","""Any process that modulates the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000131620|ENSG00000152689|ENSG00000250111|ENSG00000184194|ENSG00000164929|ENSG00000196549|ENSG00000042980|ENSG00000164045|ENSG00000174776|ENSG00000184584|ENSG00000109674|ENSG00000144677|ENSG00000116667|ENSG00000081026|ENSG00000151725|ENSG00000021762|ENSG00000272733|ENSG00000176890","18","66719","64611|64287|64909|64927|64229|64945|64353|64267|64695|64897|64947|64961|64679|64643|64607|64617|64235|64257","5.642040392543108E-7","0.10404624277456648","173","0.05405405405405406","Gene Ontology Biological Process","GO:1901990","regulation of mitotic cell cycle phase transition","333"
"21017","","""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""ISO""|""IDA""","ENSG00000169116|ENSG00000131620|ENSG00000152689|ENSG00000178999|ENSG00000250111|ENSG00000184194|ENSG00000267690|ENSG00000164929|ENSG00000070081|ENSG00000183690|ENSG00000125845|ENSG00000095932|ENSG00000181826|ENSG00000196549|ENSG00000186187|ENSG00000169607|ENSG00000042980|ENSG00000164045|ENSG00000174776|ENSG00000184584|ENSG00000109674|ENSG00000255189|ENSG00000144677|ENSG00000116667|ENSG00000081026|ENSG00000151725|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000170677|ENSG00000114315","32","66719","64499|64611|64287|64573|64909|64927|64237|64229|64963|64333|64605|65337|64335|64945|64531|64579|64353|64267|64695|64897|64947|64299|64961|64679|64643|64607|64921|64617|64235|64257|64493|64673","7.286521999168034E-7","0.18497109826589594","173","0.028985507246376812","Gene Ontology Biological Process","GO:0051726","regulation of cell cycle","1104"
